source_id,title,path_or_url,source_type,captured_at,reviewed,tags,applicability,limitation
source_r16_process_rag_bundle,R16 process RAG sample EvidenceBundle,data/rag/enterprise/r16_process_rag_evidence_bundle.sample.json,local_json,2026-06-03T05:00:00+00:00,true,R16;EvidenceBundle;sample;ranking,Records the DC04 D-20 candidate evidence bundle with ranking explanation exclusions and formal index count zero,All matched cards remain candidate evidence only
source_r16_process_rag_module,R16 process RAG helper module,autoform_agent/process_rag.py,local_python,2026-06-03T05:00:00+00:00,true,R16;retriever;filter;ranking;eval,Retrieves R16 candidate EvidenceBundle from R15 process knowledge cards and evaluates query fixtures,Does not crawl ingest index write formal state submit solver or control GUI
source_r16_retrieval_api_doc,R16 retrieval API doc,docs/retrieval_api.md,local_markdown,2026-06-03T05:05:00+00:00,true,R16;retrieval-api;EvidenceBundle;filters,Documents R16 Python entry filters output fields and blocked actions for R17 consumption,Depends on local DOCX evidence and current process_rag module
source_r16_process_rag_handoff,R16 process RAG handoff,handoff/2026-06-03_r16_process_rag_evidence_bundle.md,local_markdown,2026-06-03T05:10:00+00:00,true,R16;handoff;tests;review,Summarizes read DOCX sources R16 assets validation and R17 gates,Depends on R15 candidate cards and current R16 eval results
source_r17_enterprise_process_planning_schema,R17 enterprise process planning schema,schemas/enterprise_process_planning_result.schema.json,local_json,2026-06-03T06:00:00+00:00,true,R17;schema;ProcessPlanCard;ContextPatch,Defines R17 enterprise evidence driven process planning result with candidate plan patch review request and execution gates,Schema does not authorize solver GUI or report conclusions
source_r17_enterprise_process_planning_fixture,R17 enterprise process planning fixture,data/rag/enterprise/r17_enterprise_process_plan_candidate.sample.json,local_json,2026-06-03T06:00:00+00:00,true,R17;fixture;ProcessPlanCard;ReviewRequest,Records candidate DC04 D-20 process plan built from the R16 sample EvidenceBundle,Contains blockers for low confidence missing material curve missing line and no formal index cards
source_r17_enterprise_process_planning_module,R17 enterprise process planning module,autoform_agent/enterprise_process_planning.py,local_python,2026-06-03T06:00:00+00:00,true,R17;generator;validator;rollback,Builds candidate ProcessPlanCard ContextPatch ReviewRequest and human decision rollback from R16 EvidenceBundle,Does not submit solver control GUI or merge patches
source_r17_enterprise_process_planning_doc,R17 enterprise process planning doc,docs/enterprise_process_planning.md,local_markdown,2026-06-03T06:05:00+00:00,true,R17;api;handoff;candidate-plan,Documents Python entry output fields human confirmation and current blockers for R17,Depends on local DOCX evidence and current enterprise_process_planning module
source_r17_enterprise_process_planning_handoff,R17 enterprise process planning handoff,handoff/2026-06-03_r17_enterprise_process_planning.md,local_markdown,2026-06-03T06:10:00+00:00,true,R17;handoff;tests;review,Summarizes read DOCX sources R17 assets validation and R18 gates,Depends on R16 EvidenceBundle and current R17 tests
source_r18_realtime_executor_schema,R18 realtime executor schema,schemas/realtime_executor_run.schema.json,local_json,2026-06-03T08:00:00+00:00,true,R18;schema;runtime;RunEvent,Defines RealtimeExecutorRun state node event resume token and execution boundary fields,Schema does not authorize solver GUI or tool execution
source_r18_realtime_executor_fixture,R18 realtime executor event fixture,fixtures/r18_realtime_executor_events.jsonl,local_jsonl,2026-06-03T08:00:00+00:00,true,R18;fixture;RunEvent;replay,Records a deterministic manager to process planning executor event stream for replay,Fixture contains no real solver or GUI action
source_r18_realtime_executor_module,R18 realtime executor module,autoform_agent/agent_system/runtime.py,local_python,2026-06-03T08:00:00+00:00,true,R18;runtime;state-machine;resume,Builds deterministic realtime executor run events pause resume human wait and validation reports,R18 default path has no tool intents and keeps solver GUI disabled
source_r18_realtime_executor_doc,R18 realtime executor doc,docs/realtime_executor.md,local_markdown,2026-06-03T08:05:00+00:00,true,R18;api;event-stream;handoff,Documents Python entry output fields event types pause resume and current execution boundary,Depends on local DOCX evidence and current runtime module
source_r18_realtime_executor_handoff,R18 realtime executor handoff,handoff/2026-06-03_r18_realtime_executor_skeleton.md,local_markdown,2026-06-03T08:10:00+00:00,true,R18;handoff;tests;review,Summarizes read DOCX sources R18 assets validation and R19 gates,Depends on center plan runtime module fixture and tests
source_r19_realtime_executor_schema,R19 realtime executor schema,schemas/realtime_multi_agent_executor_run.schema.json,local_json,2026-06-03T09:00:00+00:00,true,R19;schema;runtime;tool-events,Defines R19 tool intents gateway execution records approval status and event stream fields,Schema does not authorize solver GUI execution
source_r19_realtime_executor_fixture,R19 realtime executor event fixture,fixtures/r19_realtime_multi_agent_executor_events.jsonl,local_jsonl,2026-06-03T09:00:00+00:00,true,R19;fixture;RunEvent;tool-events,Records a deterministic result review gateway tool event stream for frontend replay,Fixture uses readonly capability query only
source_r19_realtime_executor_module,R19 realtime executor module,autoform_agent/agent_system/runtime.py,local_python,2026-06-03T09:00:00+00:00,true,R19;runtime;AgentToolGateway;approval,Builds tool-aware executor events for success approval block permission rejection and validation,Controlled tools remain behind explicit execution approval
source_r19_frontend_event_consumer,R19 frontend event consumer,apps/workbench/app.js,local_javascript,2026-06-03T09:05:00+00:00,true,R19;frontend;RunEvent;tool-events,Renders R19 tool requested completed blocked failed and approval events into graph terminal and summary state,Frontend does not execute AutoForm tools directly
source_r19_realtime_executor_doc,R19 realtime executor doc,docs/realtime_executor.md,local_markdown,2026-06-03T09:05:00+00:00,true,R19;api;event-stream;handoff,Documents R18 to R19 Python entry output fields event types and current execution boundary,Depends on local DOCX evidence and current runtime module
source_r19_realtime_executor_handoff,R19 realtime executor handoff,handoff/2026-06-03_r19_realtime_multi_agent_executor.md,local_markdown,2026-06-03T09:10:00+00:00,true,R19;handoff;tests;review,Summarizes read DOCX sources R19 assets validation and R20 gates,Depends on runtime module frontend fixture and tests
source_r20_enterprise_process_executor_schema,R20 enterprise process executor schema,schemas/enterprise_process_executor_run.schema.json,local_json,2026-06-03T10:00:00+00:00,true,R20;schema;executor;report-draft,Defines EnterpriseProcessExecutorRun state source refs evidence refs runtime result evidence and report draft fields,Schema does not authorize solver GUI or formal report conclusions
source_r20_enterprise_process_executor_sample,R20 enterprise process executor sample,data/rag/enterprise/r20_enterprise_process_executor_run.sample.json,local_json,2026-06-03T10:00:00+00:00,true,R20;sample;closed-loop;report-draft,Records reviewed enterprise evidence candidate planning R19 tool events result evidence package and report draft boundary,Synthetic reviewed cards are for deterministic R20 coverage
source_r20_enterprise_process_executor_fixture,R20 enterprise process executor event fixture,fixtures/r20_enterprise_process_executor_events.jsonl,local_jsonl,2026-06-03T10:00:00+00:00,true,R20;fixture;RunEvent;frontend,Records R20 frontend replay events for enterprise evidence candidate patch tool events and stage summary,Fixture contains no real solver or GUI action
source_r20_enterprise_process_executor_module,R20 enterprise process executor module,autoform_agent/enterprise_process_executor.py,local_python,2026-06-03T10:00:00+00:00,true,R20;executor;EvidenceBundle;R19,Builds auditable closed loop from enterprise evidence to candidate report draft and validates R20 result states,Default path keeps solver GUI and formal conclusions disabled
source_r20_enterprise_process_executor_doc,R20 enterprise process executor doc,docs/enterprise_process_executor.md,local_markdown,2026-06-03T10:05:00+00:00,true,R20;api;handoff;executor,Documents Python entry output objects execution boundary and remaining real enterprise data gates,Depends on local DOCX evidence and current R20 module
